source_code,source,destination_code,destination,religious_background,count,source_population,rate_per_1000
N09000002,armagh_banbridge_craigavon,N09000007,lisburn_castlereagh,none,152,18028,8.431329
N09000002,armagh_banbridge_craigavon,N09000008,mid_east_antrim,catholic,17,95868,0.177327
N09000002,armagh_banbridge_craigavon,N09000008,mid_east_antrim,protestant,36,102063,0.352723
N09000002,armagh_banbridge_craigavon,N09000008,mid_east_antrim,none,41,18028,2.27424
N09000002,armagh_banbridge_craigavon,N09000009,mid_ulster,catholic,215,95868,2.242667
N09000002,armagh_banbridge_craigavon,N09000009,mid_ulster,protestant,139,102063,1.361904
N09000002,armagh_banbridge_craigavon,N09000009,mid_ulster,none,66,18028,3.660972
N09000002,armagh_banbridge_craigavon,N09000010,newry_mourne_down,catholic,226,95868,2.357408
N09000002,armagh_banbridge_craigavon,N09000010,newry_mourne_down,protestant,133,102063,1.303117
N09000002,armagh_banbridge_craigavon,N09000010,newry_mourne_down,other,15,2697,5.561735
N09000002,armagh_banbridge_craigavon,N09000010,newry_mourne_down,none,137,18028,7.59929
N09000002,armagh_banbridge_craigavon,N09000011,ards_north_down,catholic,19,95868,0.198189
N09000002,armagh_banbridge_craigavon,N09000011,ards_north_down,protestant,66,102063,0.646659
N09000002,armagh_banbridge_craigavon,N09000011,ards_north_down,other,9,2697,3.337041
N09000002,armagh_banbridge_craigavon,N09000011,ards_north_down,none,65,18028,3.605503
N09000003,belfast,N09000001,antrim_and_newtownabbey,catholic,515,168271,3.060539
N09000003,belfast,N09000001,antrim_and_newtownabbey,protestant,439,125633,3.494305
N09000003,belfast,N09000001,antrim_and_newtownabbey,other,38,11500,3.304348
N09000003,belfast,N09000001,antrim_and_newtownabbey,none,489,40014,12.220723
N09000003,belfast,N09000002,armagh_banbridge_craigavon,catholic,278,168271,1.652097
N09000003,belfast,N09000002,armagh_banbridge_craigavon,protestant,210,125633,1.671535
N09000003,belfast,N09000002,armagh_banbridge_craigavon,other,13,11500,1.130435
N09000003,belfast,N09000002,armagh_banbridge_craigavon,none,252,40014,6.297796
N09000003,belfast,N09000004,causeway_coast_glens,catholic,162,168271,0.962733
N09000003,belfast,N09000004,causeway_coast_glens,protestant,171,125633,1.361107
N09000003,belfast,N09000004,causeway_coast_glens,other,10,11500,0.869565
N09000003,belfast,N09000004,causeway_coast_glens,none,186,40014,4.648373
N09000003,belfast,N09000005,derry_strabane,catholic,225,168271,1.337129
N09000003,belfast,N09000005,derry_strabane,protestant,62,125633,0.493501
N09000003,belfast,N09000005,derry_strabane,other,9,11500,0.782609
N09000003,belfast,N09000005,derry_strabane,none,164,40014,4.098566
N09000003,belfast,N09000006,fermanagh_omagh,catholic,199,168271,1.182616
N09000003,belfast,N09000006,fermanagh_omagh,protestant,74,125633,0.589017
N09000003,belfast,N09000006,fermanagh_omagh,other,11,11500,0.956522
N09000003,belfast,N09000006,fermanagh_omagh,none,76,40014,1.899335
N09000003,belfast,N09000007,lisburn_castlereagh,catholic,915,168271,5.437657
N09000003,belfast,N09000007,lisburn_castlereagh,protestant,778,125633,6.19264
N09000003,belfast,N09000007,lisburn_castlereagh,other,109,11500,9.478261
N09000003,belfast,N09000007,lisburn_castlereagh,none,879,40014,21.967311
N09000003,belfast,N09000008,mid_east_antrim,catholic,127,168271,0.754735
N09000003,belfast,N09000008,mid_east_antrim,protestant,223,125633,1.775011
N09000003,belfast,N09000008,mid_east_antrim,other,15,11500,1.304348
N09000003,belfast,N09000008,mid_east_antrim,none,287,40014,7.17249
N09000003,belfast,N09000009,mid_ulster,catholic,283,168271,1.681811
N09000003,belfast,N09000009,mid_ulster,protestant,72,125633,0.573098
N09000003,belfast,N09000009,mid_ulster,other,5,11500,0.434783
N09000003,belfast,N09000009,mid_ulster,none,104,40014,2.59909
N09000003,belfast,N09000010,newry_mourne_down,catholic,448,168271,2.662372
N09000003,belfast,N09000010,newry_mourne_down,protestant,114,125633,0.907405
N09000003,belfast,N09000010,newry_mourne_down,other,33,11500,2.869565
N09000003,belfast,N09000010,newry_mourne_down,none,207,40014,5.173189
N09000003,belfast,N09000011,ards_north_down,catholic,178,168271,1.057817
N09000003,belfast,N09000011,ards_north_down,protestant,578,125633,4.600702
N09000003,belfast,N09000011,ards_north_down,other,31,11500,2.695652
N09000003,belfast,N09000011,ards_north_down,none,618,40014,15.444594
N09000004,causeway_coast_glens,N09000001,antrim_and_newtownabbey,catholic,45,56862,0.79139
N09000004,causeway_coast_glens,N09000001,antrim_and_newtownabbey,protestant,79,72530,1.089204
N09000004,causeway_coast_glens,N09000001,antrim_and_newtownabbey,other,3,1102,2.722323
N09000004,causeway_coast_glens,N09000001,antrim_and_newtownabbey,none,65,11252,5.776751
N09000004,causeway_coast_glens,N09000002,armagh_banbridge_craigavon,catholic,31,56862,0.54518
N09000004,causeway_coast_glens,N09000002,armagh_banbridge_craigavon,protestant,49,72530,0.675583
N09000004,causeway_coast_glens,N09000002,armagh_banbridge_craigavon,other,2,1102,1.814882
N09000004,causeway_coast_glens,N09000002,armagh_banbridge_craigavon,none,26,11252,2.3107
N09000004,causeway_coast_glens,N09000003,belfast,catholic,277,56862,4.871443
N09000004,causeway_coast_glens,N09000003,belfast,protestant,210,72530,2.895354
N09000004,causeway_coast_glens,N09000003,belfast,other,8,1102,7.259528
N09000004,causeway_coast_glens,N09000003,belfast,none,250,11252,22.218272
N09000004,causeway_coast_glens,N09000005,derry_strabane,catholic,137,56862,2.409342
N09000004,causeway_coast_glens,N09000005,derry_strabane,protestant,85,72530,1.171929
N09000004,causeway_coast_glens,N09000005,derry_strabane,other,2,1102,1.814882
