code,location,count
N09000001,antrim_and_newtownabbey,145661
N09000002,armagh_banbridge_craigavon,218656
N09000003,belfast,345418
N09000004,causeway_coast_glens,141746
N09000005,derry_strabane,150756
N09000006,fermanagh_omagh,116812
N09000007,lisburn_castlereagh,149106
N09000008,mid_east_antrim,138994
N09000009,mid_ulster,150293
N09000010,newry_mourne_down,182074
N09000011,ards_north_down,163659
